x,y,class
-0.285,0.103,1
-0.250,0.189,1
-0.292,0.139,1
-0.270,0.196,1
-0.296,0.175,1
-0.237,0.263,1
-0.238,0.275,1
-0.276,0.252,1
-0.238,0.301,1
-0.315,0.237,1
-0.332,0.230,1
-0.212,0.355,1
-0.223,0.361,1
-0.177,0.397,1
-0.013,0.444,1
-0.124,0.437,1
-0.265,0.382,1
-0.076,0.469,1
-0.277,0.398,1
-0.191,0.457,1
-0.138,0.486,1
0.062,0.511,1
-0.171,0.497,1
-0.162,0.510,1
-0.066,0.541,1
-0.107,0.545,1
0.115,0.554,1
-0.112,0.565,1
-0.099,0.577,1
0.008,0.596,1
0.025,0.606,1
0.331,0.520,1
0.251,0.574,1
0.176,0.612,1
0.037,0.645,1
0.322,0.572,1
0.122,0.655,1
0.078,0.672,1
0.443,0.525,1
0.375,0.587,1
0.471,0.527,1
0.434,0.571,1
0.520,0.508,1
0.377,0.634,1
0.358,0.656,1
0.586,0.481,1
0.450,0.622,1
0.495,0.600,1
0.553,0.562,1
0.631,0.488,1
0.622,0.516,1
0.536,0.618,1
0.649,0.514,1
0.491,0.680,1
0.801,0.279,1
0.634,0.579,1
0.717,0.491,1
0.832,0.283,1
0.802,0.384,1
0.898,-0.045,1
0.808,0.417,1
0.912,0.114,1
0.920,0.134,1
0.889,0.304,1
0.948,-0.046,1
0.958,0.048,1
0.954,-0.173,1
0.954,-0.223,1
0.850,-0.507,1
0.916,-0.402,1
0.000,-0.000,2
0.010,-0.001,2
0.018,-0.009,2
0.028,-0.012,2
0.037,-0.017,2
0.050,-0.001,2
0.056,-0.023,2
0.068,-0.020,2
0.070,-0.041,2
0.080,-0.043,2
0.075,-0.068,2
0.088,-0.068,2
0.085,-0.086,2
0.110,-0.072,2
0.123,-0.071,2
0.119,-0.094,2
0.114,-0.115,2
0.106,-0.135,2
0.044,-0.176,2
0.119,-0.151,2
0.146,-0.140,2
0.128,-0.169,2
0.131,-0.180,2
0.090,-0.214,2
0.168,-0.175,2
0.099,-0.232,2
0.088,-0.247,2
0.077,-0.262,2
0.113,-0.259,2
0.087,-0.280,2
0.145,-0.266,2
0.084,-0.302,2
0.077,-0.314,2
0.003,-0.333,2
0.096,-0.330,2
-0.051,-0.350,2
-0.117,-0.344,2
0.126,-0.352,2
-0.075,-0.377,2
-0.111,-0.378,2
-0.026,-0.403,2
-0.063,-0.409,2
-0.103,-0.412,2
-0.109,-0.421,2
-0.128,-0.426,2
-0.026,-0.454,2
-0.286,-0.366,2
-0.302,-0.366,2
-0.167,-0.455,2
-0.128,-0.478,2
-0.325,-0.386,2
-0.256,-0.447,2
-0.340,-0.400,2
-0.325,-0.425,2
-0.426,-0.341,2
-0.447,-0.329,2
-0.361,-0.435,2
-0.326,-0.475,2
-0.332,-0.483,2
-0.526,-0.280,2
-0.418,-0.439,2
-0.497,-0.364,2
-0.513,-0.359,2
-0.570,-0.283,2
-0.452,-0.462,2
-0.621,-0.214,2
-0.650,-0.148,2
-0.652,-0.181,2
-0.654,-0.210,2
-0.685,-0.130,2
-0.704,-0.062,2
-0.557,-0.452,2
-0.694,0.218,2
-0.737,0.024,2
-0.741,-0.101,2
-0.757,-0.033,2
-0.756,0.133,2
-0.774,0.072,2
-0.763,-0.195,2
-0.654,0.457,2
-0.790,0.172,2
-0.725,0.379,2
-0.815,0.148,2
-0.660,0.517,2
-0.762,0.373,2
-0.727,0.456,2
-0.837,0.232,2
-0.636,0.607,2
-0.681,0.571,2
-0.586,0.682,2
-0.791,0.448,2
-0.766,0.508,2
-0.352,0.860,2
-0.801,0.491,2
-0.678,0.665,2
-0.461,0.842,2
-0.601,0.761,2
-0.496,0.845,2
-0.628,0.766,2
-0.473,0.881,2
