x,y,class
0.453,0.644,0
0.456,0.659,0
0.447,0.666,0
0.454,0.686,0
0.466,0.677,0
0.466,0.662,0
0.464,0.653,0
0.468,0.644,0
0.486,0.611,0
0.487,0.618,0
0.496,0.629,0
0.486,0.652,0
0.473,0.688,0
0.502,0.651,0
0.500,0.663,0
0.526,0.640,0
0.536,0.644,0
0.488,0.693,0
0.492,0.688,0
0.499,0.682,0
0.499,0.691,0
0.504,0.678,0
0.511,0.676,0
0.516,0.682,0
0.521,0.668,0
0.528,0.668,0
0.543,0.663,0
0.547,0.657,0
0.560,0.654,0
0.579,0.658,0
0.562,0.672,0
0.541,0.681,0
0.518,0.691,0
0.510,0.694,0
0.498,0.699,0
0.507,0.709,0
0.509,0.711,0
0.517,0.714,0
0.521,0.720,0
0.523,0.707,0
0.529,0.719,0
0.529,0.694,0
0.538,0.711,0
0.546,0.711,0
0.549,0.714,0
0.549,0.704,0
0.553,0.694,0
0.587,0.673,0
0.603,0.668,0
0.607,0.679,0
0.611,0.679,0
0.612,0.687,0
0.597,0.690,0
0.591,0.691,0
0.597,0.702,0
0.582,0.702,0
0.578,0.706,0
0.559,0.709,0
0.569,0.713,0
0.574,0.720,0
0.554,0.726,0
0.558,0.728,0
0.566,0.730,0
0.597,0.734,0
0.603,0.730,0
0.604,0.733,0
0.621,0.728,0
0.621,0.722,0
0.640,0.710,0
0.640,0.696,0
0.639,0.679,0
0.636,0.672,0
0.650,0.660,0
0.667,0.654,0
0.680,0.724,0
0.668,0.723,0
0.661,0.723,0
0.649,0.711,0
0.654,0.710,0
0.646,0.699,0
0.653,0.692,0
0.656,0.696,0
0.664,0.701,0
0.683,0.701,0
0.676,0.710,0
0.684,0.712,0
0.690,0.712,0
0.687,0.684,0
0.681,0.670,0
0.682,0.663,0
0.700,0.661,0
0.703,0.654,0
0.711,0.644,0
0.722,0.623,0
0.741,0.634,0
0.724,0.646,0
0.726,0.653,0
0.723,0.659,0
0.719,0.664,0
0.723,0.671,0
0.716,0.688,0
0.719,0.706,0
0.731,0.708,0
0.727,0.698,0
0.728,0.692,0
0.758,0.698,0
0.758,0.689,0
0.747,0.683,0
0.741,0.674,0
0.750,0.668,0
0.742,0.662,0
0.766,0.671,0
0.770,0.674,0
0.770,0.661,0
0.783,0.661,0
0.763,0.649,0
0.758,0.641,0
0.766,0.638,0
0.771,0.640,0
0.774,0.644,0
0.763,0.628,0
0.768,0.626,0
0.779,0.622,0
0.789,0.621,0
0.796,0.642,0
0.813,0.651,0
0.817,0.639,0
0.811,0.636,0
0.799,0.624,0
0.802,0.620,0
0.803,0.613,0
0.836,0.637,0
0.842,0.630,0
0.648,0.702,0
0.776,0.600,0
0.784,0.591,0
0.798,0.592,0
0.800,0.586,0
0.794,0.578,0
0.816,0.597,0
0.813,0.582,0
0.820,0.583,0
0.828,0.574,0
0.809,0.574,0
0.807,0.562,0
0.817,0.559,0
0.848,0.584,0
0.853,0.590,0
0.852,0.567,0
0.838,0.560,0
0.832,0.552,0
0.830,0.547,0
0.822,0.539,0
0.818,0.529,0
0.826,0.521,0
0.828,0.530,0
0.837,0.534,0
0.843,0.537,0
0.858,0.539,0
0.856,0.529,0
0.844,0.512,0
0.829,0.511,0
0.833,0.502,0
0.841,0.478,0
0.851,0.476,0
0.846,0.479,0
0.852,0.481,0
0.856,0.483,0
0.873,0.484,0
0.867,0.507,0
0.866,0.513,0
0.871,0.526,0
0.878,0.538,0
0.879,0.527,0
0.883,0.517,0
0.893,0.516,0
0.898,0.532,0
0.899,0.522,0
0.901,0.508,0
0.899,0.478,0
0.893,0.471,0
0.903,0.469,0
0.902,0.461,0
0.918,0.460,0
0.910,0.451,0
0.917,0.427,0
0.910,0.421,0
0.904,0.434,0
0.899,0.438,0
0.887,0.440,0
0.881,0.440,0
0.872,0.456,0
0.863,0.456,0
0.851,0.433,0
0.861,0.426,0
0.867,0.431,0
0.850,0.414,0
0.878,0.423,0
0.887,0.421,0
